2026-04-19 04:35:01,340 | INFO     | __main__ |   model.layers.27                 PC0=0.9085  PC1=0.0091  PC2=0.0080  PC3=0.0053  PC4=0.0043
2026-04-19 04:35:01,340 | INFO     | __main__ |   model.layers.28                 PC0=0.9047  PC1=0.0093  PC2=0.0078  PC3=0.0052  PC4=0.0043
2026-04-19 04:35:01,340 | INFO     | __main__ |   model.layers.29                 PC0=0.8962  PC1=0.0101  PC2=0.0082  PC3=0.0051  PC4=0.0048
2026-04-19 04:35:01,340 | INFO     | __main__ |   model.layers.30                 PC0=0.8842  PC1=0.0109  PC2=0.0087  PC3=0.0056  PC4=0.0052
2026-04-19 04:35:01,340 | INFO     | __main__ |   model.layers.31                 PC0=0.8745  PC1=0.0113  PC2=0.0092  PC3=0.0059  PC4=0.0055
2026-04-19 04:35:01,340 | INFO     | __main__ |   model.layers.32                 PC0=0.8675  PC1=0.0114  PC2=0.0095  PC3=0.0061  PC4=0.0059
2026-04-19 04:35:01,340 | INFO     | __main__ |   model.layers.33                 PC0=0.8562  PC1=0.0124  PC2=0.0100  PC3=0.0067  PC4=0.0063
2026-04-19 04:35:01,341 | INFO     | __main__ |   model.layers.34                 PC0=0.8462  PC1=0.0136  PC2=0.0108  PC3=0.0072  PC4=0.0067
2026-04-19 04:35:01,341 | INFO     | __main__ |   model.layers.35                 PC0=0.8338  PC1=0.0140  PC2=0.0111  PC3=0.0080  PC4=0.0072
2026-04-19 04:35:01,341 | INFO     | __main__ |   model.layers.36                 PC0=0.8223  PC1=0.0152  PC2=0.0117  PC3=0.0086  PC4=0.0078
2026-04-19 04:35:01,341 | INFO     | __main__ |   model.layers.37                 PC0=0.8137  PC1=0.0164  PC2=0.0122  PC3=0.0093  PC4=0.0080
2026-04-19 04:35:01,341 | INFO     | __main__ |   model.layers.38                 PC0=0.8015  PC1=0.0175  PC2=0.0133  PC3=0.0098  PC4=0.0088
2026-04-19 04:35:01,341 | INFO     | __main__ |   model.layers.39                 PC0=0.7944  PC1=0.0202  PC2=0.0142  PC3=0.0107  PC4=0.0094
2026-04-19 04:35:01,341 | INFO     | __main__ |   model.layers.40                 PC0=0.7821  PC1=0.0267  PC2=0.0146  PC3=0.0117  PC4=0.0100
2026-04-19 04:35:01,341 | INFO     | __main__ |   model.layers.41                 PC0=0.7498  PC1=0.0400  PC2=0.0159  PC3=0.0145  PC4=0.0111
2026-04-19 04:35:01,350 | INFO     | __main__ | Directions saved → results/pca_directions/gemma/refusal_calibration/directions.pt
2026-04-19 04:35:01,376 | INFO     | __main__ | Raw contrastive diffs saved → results/pca_directions/gemma/refusal_calibration/raw_diffs.pt
2026-04-19 04:35:01,380 | INFO     | __main__ | Variance explained CSV saved → results/pca_directions/gemma/refusal_calibration/variance_explained.csv
2026-04-19 04:35:01,380 | INFO     | __main__ | Split indices saved → results/pca_directions/gemma/refusal_calibration/split_indices.json
