2026-04-21 07:03:07,951 | INFO     | __main__ | ------------------------------------------------------------
2026-04-21 07:03:07,952 | INFO     | __main__ | Loaded 200 contrastive pairs for behavior 'uncertainty_expression'.
2026-04-21 07:03:07,952 | INFO     | __main__ | Split: 160 train / 40 test  (seed=42).
2026-04-21 07:03:07,958 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-21 07:03:07,958 | INFO     | __main__ | Extracting contrastive diffs for 160 train pairs…
2026-04-21 07:03:07,958 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 160 pairs across 28 layers.
2026-04-21 07:03:13,229 | INFO     | PCADirector | PCADirector.fit complete: 28 layers.
2026-04-21 07:03:13,229 | INFO     | __main__ | Explained variance ratios (top-5 components per layer):
2026-04-21 07:03:13,229 | INFO     | __main__ |   model.layers.0                  PC0=0.5108  PC1=0.1073  PC2=0.0490  PC3=0.0274  PC4=0.0146
2026-04-21 07:03:13,229 | INFO     | __main__ |   model.layers.1                  PC0=0.4797  PC1=0.0907  PC2=0.0683  PC3=0.0333  PC4=0.0269
2026-04-21 07:03:13,229 | INFO     | __main__ |   model.layers.2                  PC0=0.3995  PC1=0.0959  PC2=0.0701  PC3=0.0368  PC4=0.0298
2026-04-21 07:03:13,229 | INFO     | __main__ |   model.layers.3                  PC0=0.3227  PC1=0.0956  PC2=0.0650  PC3=0.0396  PC4=0.0328
2026-04-21 07:03:13,229 | INFO     | __main__ |   model.layers.4                  PC0=0.2675  PC1=0.1032  PC2=0.0801  PC3=0.0444  PC4=0.0373
2026-04-21 07:03:13,229 | INFO     | __main__ |   model.layers.5                  PC0=0.2702  PC1=0.1077  PC2=0.0799  PC3=0.0454  PC4=0.0389
2026-04-21 07:03:13,229 | INFO     | __main__ |   model.layers.6                  PC0=0.2438  PC1=0.1015  PC2=0.0822  PC3=0.0480  PC4=0.0374
2026-04-21 07:03:13,229 | INFO     | __main__ |   model.layers.7                  PC0=0.2063  PC1=0.0919  PC2=0.0838  PC3=0.0422  PC4=0.0376
2026-04-21 07:03:13,230 | INFO     | __main__ |   model.layers.8                  PC0=0.1865  PC1=0.0907  PC2=0.0735  PC3=0.0390  PC4=0.0377
2026-04-21 07:03:13,230 | INFO     | __main__ |   model.layers.9                  PC0=0.1823  PC1=0.0856  PC2=0.0671  PC3=0.0398  PC4=0.0363
2026-04-21 07:03:13,230 | INFO     | __main__ |   model.layers.10                 PC0=0.1752  PC1=0.0876  PC2=0.0629  PC3=0.0452  PC4=0.0363
2026-04-21 07:03:13,230 | INFO     | __main__ |   model.layers.11                 PC0=0.1691  PC1=0.0882  PC2=0.0610  PC3=0.0455  PC4=0.0374
2026-04-21 07:03:13,230 | INFO     | __main__ |   model.layers.12                 PC0=0.1733  PC1=0.0867  PC2=0.0630  PC3=0.0434  PC4=0.0372
2026-04-21 07:03:13,230 | INFO     | __main__ |   model.layers.13                 PC0=0.1671  PC1=0.0849  PC2=0.0636  PC3=0.0437  PC4=0.0376
2026-04-21 07:03:13,230 | INFO     | __main__ |   model.layers.14                 PC0=0.1694  PC1=0.0823  PC2=0.0681  PC3=0.0437  PC4=0.0406
2026-04-21 07:03:13,230 | INFO     | __main__ |   model.layers.15                 PC0=0.1741  PC1=0.0844  PC2=0.0649  PC3=0.0448  PC4=0.0404
2026-04-21 07:03:13,230 | INFO     | __main__ |   model.layers.16                 PC0=0.1762  PC1=0.0794  PC2=0.0657  PC3=0.0449  PC4=0.0390
2026-04-21 07:03:13,230 | INFO     | __main__ |   model.layers.17                 PC0=0.1764  PC1=0.0792  PC2=0.0655  PC3=0.0448  PC4=0.0390
2026-04-21 07:03:13,230 | INFO     | __main__ |   model.layers.18                 PC0=0.1793  PC1=0.0858  PC2=0.0684  PC3=0.0476  PC4=0.0373
2026-04-21 07:03:13,230 | INFO     | __main__ |   model.layers.19                 PC0=0.1698  PC1=0.0861  PC2=0.0711  PC3=0.0484  PC4=0.0422
2026-04-21 07:03:13,230 | INFO     | __main__ |   model.layers.20                 PC0=0.1515  PC1=0.0900  PC2=0.0737  PC3=0.0493  PC4=0.0444
2026-04-21 07:03:13,230 | INFO     | __main__ |   model.layers.21                 PC0=0.1383  PC1=0.0881  PC2=0.0693  PC3=0.0505  PC4=0.0474
2026-04-21 07:03:13,230 | INFO     | __main__ |   model.layers.22                 PC0=0.1151  PC1=0.0830  PC2=0.0665  PC3=0.0544  PC4=0.0485
2026-04-21 07:03:13,231 | INFO     | __main__ |   model.layers.23                 PC0=0.1051  PC1=0.0815  PC2=0.0631  PC3=0.0560  PC4=0.0460
2026-04-21 07:03:13,231 | INFO     | __main__ |   model.layers.24                 PC0=0.0952  PC1=0.0779  PC2=0.0634  PC3=0.0539  PC4=0.0428
2026-04-21 07:03:13,231 | INFO     | __main__ |   model.layers.25                 PC0=0.0892  PC1=0.0727  PC2=0.0684  PC3=0.0556  PC4=0.0429
2026-04-21 07:03:13,231 | INFO     | __main__ |   model.layers.26                 PC0=0.0788  PC1=0.0677  PC2=0.0627  PC3=0.0575  PC4=0.0409
2026-04-21 07:03:13,231 | INFO     | __main__ |   model.layers.27                 PC0=0.1554  PC1=0.0756  PC2=0.0662  PC3=0.0468  PC4=0.0413
2026-04-21 07:03:13,237 | INFO     | __main__ | Directions saved → results/pca_directions/qwen/uncertainty_expression/directions.pt
2026-04-21 07:03:13,310 | INFO     | __main__ | Raw contrastive diffs saved → results/pca_directions/qwen/uncertainty_expression/raw_diffs.pt
2026-04-21 07:03:13,312 | INFO     | __main__ | Variance explained CSV saved → results/pca_directions/qwen/uncertainty_expression/variance_explained.csv
2026-04-21 07:03:13,312 | INFO     | __main__ | Split indices saved → results/pca_directions/qwen/uncertainty_expression/split_indices.json
2026-04-21 07:03:13,513 | INFO     | __main__ | Finished model 'qwen' in 105.6s  GPU mem=14.68 GiB
2026-04-21 07:03:13,781 | INFO     | __main__ | ========================================================================
2026-04-21 07:03:13,781 | INFO     | __main__ | MODEL: mistral
2026-04-21 07:03:13,781 | INFO     | __main__ | ========================================================================
2026-04-21 07:03:13,781 | INFO     | __main__ | Loading tokenizer: mistralai/Mistral-7B-Instruct-v0.3
2026-04-21 07:03:15,045 | INFO     | __main__ | Loading model: mistralai/Mistral-7B-Instruct-v0.3  →  cuda
2026-04-21 07:04:25,470 | INFO     | __main__ | Model loaded. Params: 7.2B  GPU mem: 13.51 GiB
2026-04-21 07:04:25,470 | INFO     | activation_baking.model_utils | Detected model info: arch=mistral, layers=32, hidden=4096, instruct=True
2026-04-21 07:04:25,471 | INFO     | __main__ | ------------------------------------------------------------
2026-04-21 07:04:25,471 | INFO     | __main__ | Model=mistral  Behavior=sycophancy_suppression
2026-04-21 07:04:25,471 | INFO     | __main__ | ------------------------------------------------------------
2026-04-21 07:04:25,472 | INFO     | __main__ | Loaded 200 contrastive pairs for behavior 'sycophancy_suppression'.
2026-04-21 07:04:25,472 | INFO     | __main__ | Split: 160 train / 40 test  (seed=42).
2026-04-21 07:04:25,477 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-21 07:04:25,477 | INFO     | __main__ | Extracting contrastive diffs for 160 train pairs…
2026-04-21 07:04:25,477 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 160 pairs across 32 layers.
2026-04-21 07:04:32,269 | INFO     | PCADirector | PCADirector.fit complete: 32 layers.
2026-04-21 07:04:32,269 | INFO     | __main__ | Explained variance ratios (top-5 components per layer):
2026-04-21 07:04:32,269 | INFO     | __main__ |   model.layers.0                  PC0=0.7912  PC1=0.0276  PC2=0.0083  PC3=0.0066  PC4=0.0059
2026-04-21 07:04:32,269 | INFO     | __main__ |   model.layers.1                  PC0=0.9995  PC1=0.0000  PC2=0.0000  PC3=0.0000  PC4=0.0000
2026-04-21 07:04:32,269 | INFO     | __main__ |   model.layers.2                  PC0=0.9989  PC1=0.0001  PC2=0.0000  PC3=0.0000  PC4=0.0000
2026-04-21 07:04:32,269 | INFO     | __main__ |   model.layers.3                  PC0=0.9981  PC1=0.0001  PC2=0.0001  PC3=0.0001  PC4=0.0000
2026-04-21 07:04:32,270 | INFO     | __main__ |   model.layers.4                  PC0=0.9968  PC1=0.0002  PC2=0.0001  PC3=0.0001  PC4=0.0001
2026-04-21 07:04:32,270 | INFO     | __main__ |   model.layers.5                  PC0=0.9950  PC1=0.0003  PC2=0.0002  PC3=0.0001  PC4=0.0001
2026-04-21 07:04:32,270 | INFO     | __main__ |   model.layers.6                  PC0=0.9930  PC1=0.0005  PC2=0.0003  PC3=0.0002  PC4=0.0002
2026-04-21 07:04:32,270 | INFO     | __main__ |   model.layers.7                  PC0=0.9901  PC1=0.0006  PC2=0.0004  PC3=0.0003  PC4=0.0002
2026-04-21 07:04:32,270 | INFO     | __main__ |   model.layers.8                  PC0=0.9873  PC1=0.0008  PC2=0.0005  PC3=0.0004  PC4=0.0003
2026-04-21 07:04:32,270 | INFO     | __main__ |   model.layers.9                  PC0=0.9837  PC1=0.0011  PC2=0.0006  PC3=0.0005  PC4=0.0004
2026-04-21 07:04:32,270 | INFO     | __main__ |   model.layers.10                 PC0=0.9798  PC1=0.0014  PC2=0.0007  PC3=0.0006  PC4=0.0005
2026-04-21 07:04:32,270 | INFO     | __main__ |   model.layers.11                 PC0=0.9745  PC1=0.0018  PC2=0.0009  PC3=0.0008  PC4=0.0006
2026-04-21 07:04:32,270 | INFO     | __main__ |   model.layers.12                 PC0=0.9695  PC1=0.0023  PC2=0.0010  PC3=0.0010  PC4=0.0007
2026-04-21 07:04:32,270 | INFO     | __main__ |   model.layers.13                 PC0=0.9604  PC1=0.0033  PC2=0.0014  PC3=0.0012  PC4=0.0009
2026-04-21 07:04:32,270 | INFO     | __main__ |   model.layers.14                 PC0=0.9501  PC1=0.0043  PC2=0.0016  PC3=0.0015  PC4=0.0012
2026-04-21 07:04:32,270 | INFO     | __main__ |   model.layers.15                 PC0=0.9318  PC1=0.0067  PC2=0.0023  PC3=0.0019  PC4=0.0017
2026-04-21 07:04:32,270 | INFO     | __main__ |   model.layers.16                 PC0=0.9054  PC1=0.0102  PC2=0.0034  PC3=0.0026  PC4=0.0025
2026-04-21 07:04:32,270 | INFO     | __main__ |   model.layers.17                 PC0=0.8706  PC1=0.0143  PC2=0.0048  PC3=0.0035  PC4=0.0033
2026-04-21 07:04:32,270 | INFO     | __main__ |   model.layers.18                 PC0=0.8251  PC1=0.0197  PC2=0.0070  PC3=0.0050  PC4=0.0042
2026-04-21 07:04:32,270 | INFO     | __main__ |   model.layers.19                 PC0=0.7745  PC1=0.0233  PC2=0.0082  PC3=0.0067  PC4=0.0055
2026-04-21 07:04:32,271 | INFO     | __main__ |   model.layers.20                 PC0=0.7206  PC1=0.0322  PC2=0.0101  PC3=0.0082  PC4=0.0067
2026-04-21 07:04:32,271 | INFO     | __main__ |   model.layers.21                 PC0=0.6804  PC1=0.0355  PC2=0.0121  PC3=0.0093  PC4=0.0077
2026-04-21 07:04:32,271 | INFO     | __main__ |   model.layers.22                 PC0=0.6449  PC1=0.0385  PC2=0.0133  PC3=0.0103  PC4=0.0087
2026-04-21 07:04:32,271 | INFO     | __main__ |   model.layers.23                 PC0=0.6055  PC1=0.0417  PC2=0.0153  PC3=0.0117  PC4=0.0097
2026-04-21 07:04:32,271 | INFO     | __main__ |   model.layers.24                 PC0=0.5726  PC1=0.0441  PC2=0.0170  PC3=0.0127  PC4=0.0103
2026-04-21 07:04:32,271 | INFO     | __main__ |   model.layers.25                 PC0=0.5394  PC1=0.0479  PC2=0.0190  PC3=0.0139  PC4=0.0116
2026-04-21 07:04:32,271 | INFO     | __main__ |   model.layers.26                 PC0=0.5062  PC1=0.0503  PC2=0.0209  PC3=0.0149  PC4=0.0123
2026-04-21 07:04:32,271 | INFO     | __main__ |   model.layers.27                 PC0=0.4634  PC1=0.0555  PC2=0.0228  PC3=0.0166  PC4=0.0141
2026-04-21 07:04:32,271 | INFO     | __main__ |   model.layers.28                 PC0=0.4142  PC1=0.0637  PC2=0.0254  PC3=0.0186  PC4=0.0153
2026-04-21 07:04:32,271 | INFO     | __main__ |   model.layers.29                 PC0=0.3614  PC1=0.0770  PC2=0.0289  PC3=0.0206  PC4=0.0170
2026-04-21 07:04:32,271 | INFO     | __main__ |   model.layers.30                 PC0=0.2534  PC1=0.1049  PC2=0.0356  PC3=0.0253  PC4=0.0206
2026-04-21 07:04:32,271 | INFO     | __main__ |   model.layers.31                 PC0=0.3375  PC1=0.1174  PC2=0.0595  PC3=0.0240  PC4=0.0194
2026-04-21 07:04:32,279 | INFO     | __main__ | Directions saved → results/pca_directions/mistral/sycophancy_suppression/directions.pt
