2026-04-19 04:28:11,863 | INFO     | __main__ | Permutation seed=42004: permuting 16/32 layers: [0, 2, 5, 8, 9, 12, 16, 17, 18, 19, 20, 24, 25, 26, 28, 29]
2026-04-19 04:28:11,864 | INFO     | activation_baking.model_utils | Creating deep copy of model for permutation experiment (seed=42004, layers=[0, 2, 5, 8, 9, 12, 16, 17, 18, 19, 20, 24, 25, 26, 28, 29]).
2026-04-19 04:28:12,338 | INFO     | activation_baking.model_utils | Permutation complete for 16 layers.
2026-04-19 04:28:12,348 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-19 04:28:12,349 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 36 pairs across 32 layers.
2026-04-19 04:28:14,021 | INFO     | PCADirector | PCADirector.fit complete: 32 layers.
2026-04-19 04:28:14,060 | INFO     | __main__ |   Permutation seed=42004: mean_cosine_sim=0.0487  n_layers_permuted=16
2026-04-19 04:28:14,282 | INFO     | __main__ | Permutation invariance for llama/verbosity_control: mean cosine sim = 0.0612 ± 0.1092  (min=0.0259, max=1.0000, n_perm=5)  claim_supported=False
2026-04-19 04:28:14,284 | INFO     | __main__ | Invariance scores CSV saved → results/permutation_invariance/llama/verbosity_control/invariance_scores.csv
2026-04-19 04:28:14,285 | INFO     | __main__ | .pt checkpoint saved → results/permutation_invariance/llama/verbosity_control/invariance_scores.pt
2026-04-19 04:28:14,286 | INFO     | __main__ | Summary JSON saved → results/permutation_invariance/llama/verbosity_control/summary.json
2026-04-19 04:28:14,286 | INFO     | __main__ | ------------------------------------------------------------
2026-04-19 04:28:14,286 | INFO     | __main__ | Model=llama  Behavior=formality
2026-04-19 04:28:14,286 | INFO     | __main__ | ------------------------------------------------------------
2026-04-19 04:28:14,287 | WARNING  | __main__ | directions.pt not found at results/pca_directions/llama/formality/directions.pt.  Running 02_contrastive_extraction.py…
2026-04-19 04:28:14,287 | INFO     | __main__ | Subprocess: /usr/bin/python experiments/02_contrastive_extraction.py --model llama --behavior formality --n-components 5 --device cuda --output-dir results/pca_directions --seed 42
2026-04-19 04:28:29,396 | INFO     | __main__ | Using saved train split (36 pairs) from results/pca_directions/llama/formality/split_indices.json.
2026-04-19 04:28:29,396 | INFO     | __main__ | Using 36 training pairs for permutation invariance test.
2026-04-19 04:28:29,397 | INFO     | __main__ | Permutation seed=42000: permuting 16/32 layers: [1, 3, 5, 6, 8, 9, 11, 14, 16, 18, 25, 27, 28, 29, 30, 31]
2026-04-19 04:28:29,397 | INFO     | activation_baking.model_utils | Creating deep copy of model for permutation experiment (seed=42000, layers=[1, 3, 5, 6, 8, 9, 11, 14, 16, 18, 25, 27, 28, 29, 30, 31]).
2026-04-19 04:28:29,722 | INFO     | activation_baking.model_utils | Permutation complete for 16 layers.
2026-04-19 04:28:29,732 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-19 04:28:29,732 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 36 pairs across 32 layers.
2026-04-19 04:28:31,425 | INFO     | PCADirector | PCADirector.fit complete: 32 layers.
2026-04-19 04:28:31,429 | INFO     | __main__ |   Permutation seed=42000: mean_cosine_sim=0.0943  n_layers_permuted=16
2026-04-19 04:28:31,650 | INFO     | __main__ | Permutation seed=42001: permuting 16/32 layers: [0, 1, 4, 5, 6, 9, 11, 14, 15, 19, 21, 22, 24, 26, 27, 29]
2026-04-19 04:28:31,650 | INFO     | activation_baking.model_utils | Creating deep copy of model for permutation experiment (seed=42001, layers=[0, 1, 4, 5, 6, 9, 11, 14, 15, 19, 21, 22, 24, 26, 27, 29]).
2026-04-19 04:28:32,122 | INFO     | activation_baking.model_utils | Permutation complete for 16 layers.
2026-04-19 04:28:32,133 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-19 04:28:32,133 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 36 pairs across 32 layers.
2026-04-19 04:28:33,870 | INFO     | PCADirector | PCADirector.fit complete: 32 layers.
2026-04-19 04:28:33,874 | INFO     | __main__ |   Permutation seed=42001: mean_cosine_sim=0.0612  n_layers_permuted=16
